Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/createReview,998,0,15,104.08761523046097,5.816100000000546,968.6737,195.0,47.312915058139154,0.0,16,46,150,210,360,480,570,640,970,970,970
POST,/login,100,0,1100.0,1269.4530359999999,511.7417999999999,2565.6043000000004,49244.0,4.740773051917751,0.0,1100,1400,1700,1800,2000,2400,2400,2600,2600,2600,2600
,Aggregated,1098,0,18,210.22289945355178,5.816100000000546,2565.6043000000004,4662.12204007286,52.0536881100569,0.0,18,110,230,320,630,1100,1700,2000,2400,2600,2600
