Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/comments/1,1426,2,1400.0,1757.8181384291724,23.219199999999773,10108.7075,298.87377279102384,24.137167489452537,0.033852969830929225,1400,1900,2300,2600,3400,4500,5700,6600,9100,10000,10000
POST,/createReview,100,0,1300.0,1522.1283910000002,11.993000000000142,9596.9614,195.0,1.692648491546461,0.0,1300,1700,1900,2200,3200,4300,5800,9600,9600,9600,9600
POST,/login,100,0,3200.0,3542.7950490000007,568.1266,11688.0662,49244.0,1.692648491546461,0.0,3500,4000,4300,4600,6500,8300,10000,12000,12000,12000,12000
POST,/reviews/1,100,0,1600.0,1901.0881190000002,125.59960000000015,6109.92,207.0,1.692648491546461,0.0,1700,2000,2700,2800,3400,3800,5700,6100,6100,6100,6100
,Aggregated,1726,2,1500.0,1855.8805453650093,11.993000000000142,11688.0662,3123.287369640788,29.21511296409192,0.033852969830929225,1500,2000,2500,2800,3800,4600,6100,7200,10000,12000,12000
