Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/createReview,100,0,1700.0,1751.9885305000935,54.19411597540602,5436.762542987708,195.0,1.6948285691002705,0.0,1700,2500,2800,2900,3200,3400,5300,5400,5400,5400,5400
POST,/editReview/1,643,0,6000.0,5800.370867585261,807.6290669851005,9980.027343030088,49500.8833592535,10.897747699314738,0.0,6000,6200,6300,6400,6700,8000,8800,9100,10000,10000,10000
POST,/login,100,0,2900.0,3411.874200180755,551.5337610268034,8820.695917995181,49274.3,1.6948285691002705,0.0,3200,4500,5000,5500,6400,6600,8100,8800,8800,8800,8800
,Aggregated,843,0,5900.0,5036.802776898468,54.19411597540602,9980.027343030088,43625.14590747331,14.287404837515279,0.0,5900,6100,6300,6300,6600,7000,8600,9000,10000,10000,10000
