Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//comments/1,509,0,22,42.3909820313371,10.715850999986287,719.4822399978875,207.0,17.530416222388176,0.0,22,29,36,46,84,160,240,310,720,720,720
POST,//createReview,30,0,78,90.32553823296136,19.32985900202766,302.77145999571076,195.0,1.033226889335256,0.0,80,94,100,120,210,270,300,300,300,300,300
POST,//login,30,0,550.0,901.7969433332231,164.38583000126528,2522.849478002172,87997.86666666667,1.033226889335256,0.0,570,900,1100,1900,2300,2500,2500,2500,2500,2500,2500
POST,//reviews/1,30,0,34,44.44504693237832,11.567339999601245,156.3840600065305,207.0,1.033226889335256,0.0,38,46,48,56,130,140,160,160,160,160,160
,Aggregated,599,0,24,87.93662054909427,10.715850999986287,2522.849478002172,4603.270450751252,20.630096890393947,0.0,24,34,50,67,160,330,860,1900,2500,2500,2500
