Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/createReview,3073,0,21,218.60469356709226,7.017118972726166,7336.341791029554,195.0,51.92691090240526,0.0,21,35,56,85,630,1200,1900,3000,7300,7300,7300
POST,/deleteReview/1,3072,3072,7,56.16604323999278,3.2018189667724073,7324.20504296897,153.0,51.9100131116788,51.9100131116788,7,9,11,12,17,28,1000,1000,7200,7300,7300
POST,/login,100,0,910.0,1245.788378942525,115.762519009877,3546.4617119869217,49278.0,1.6897790726457944,0.0,910,1500,1700,2100,2400,2700,3000,3500,3500,3500,3500
,Aggregated,6245,3072,12,155.14702098625858,3.2018189667724073,7336.341791029554,960.2963971176941,105.52670308672985,51.9100131116788,12,18,26,37,170,1000,1800,2600,7300,7300,7300
