Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,//createReview,7,0,6200.0,8998.30188057136,740.8987689996138,16240.906675004226,195.0,0.24432885328597323,0.0,6200,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
POST,//dislike/1,2,0,13000.0,13543.780148003862,12540.548629003752,14547.011667003972,195.0,0.06980824379599236,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
POST,//login,15,0,21000.0,18135.750652334053,8103.887273005967,23268.21636900422,146477.0,0.5235618284699427,0.0,21000,22000,23000,23000,23000,23000,23000,23000,23000,23000,23000
,Aggregated,24,0,16000.0,15087.997218542418,740.8987689996138,23268.21636900422,91621.25,0.8376989255519083,0.0,16000,21000,22000,23000,23000,23000,23000,23000,23000,23000,23000
